Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
New Delhi,PM2.5 - Principal,2016-01-01 01:00 AM,2016,01,01,01,316,6,265.5,322.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 02:00 AM,2016,01,01,02,319,6,268.9,395.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 03:00 AM,2016,01,01,03,331,6,280.8,433.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 04:00 AM,2016,01,01,04,337,6,287.3,413.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 05:00 AM,2016,01,01,05,340,6,289.5,401.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 06:00 AM,2016,01,01,06,342,6,291.5,383.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 07:00 AM,2016,01,01,07,346,6,295.5,386.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 08:00 AM,2016,01,01,08,352,6,302.2,372.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 09:00 AM,2016,01,01,09,360,6,310.4,354.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 10:00 AM,2016,01,01,10,364,6,313.6,297.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 11:00 AM,2016,01,01,11,361,6,311.4,196.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 12:00 PM,2016,01,01,12,360,6,310.0,138.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 01:00 PM,2016,01,01,13,358,6,307.6,238.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 02:00 PM,2016,01,01,14,356,6,306.2,356.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 03:00 PM,2016,01,01,15,351,6,301.3,258.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 04:00 PM,2016,01,01,16,343,6,293.1,142.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 05:00 PM,2016,01,01,17,335,6,284.8,135.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 06:00 PM,2016,01,01,18,327,6,276.5,207.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 07:00 PM,2016,01,01,19,320,6,269.3,298.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 08:00 PM,2016,01,01,20,313,6,262.2,385.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 09:00 PM,2016,01,01,21,307,6,256.6,343.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 10:00 PM,2016,01,01,22,303,6,252.3,321.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-01 11:00 PM,2016,01,01,23,303,6,252.8,310.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 12:00 AM,2016,01,02,00,305,6,254.5,300.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 01:00 AM,2016,01,02,01,308,6,257.8,290.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 02:00 AM,2016,01,02,02,306,6,255.5,277.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 03:00 AM,2016,01,02,03,297,5,247.3,236.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 04:00 AM,2016,01,02,04,293,5,243.7,213.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 05:00 AM,2016,01,02,05,294,5,244.2,201.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 06:00 AM,2016,01,02,06,295,5,245.1,212.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 07:00 AM,2016,01,02,07,293,5,243.0,215.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 08:00 AM,2016,01,02,08,288,5,238.7,237.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 09:00 AM,2016,01,02,09,284,5,234.0,252.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 10:00 AM,2016,01,02,10,284,5,234.0,308.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 11:00 AM,2016,01,02,11,284,5,234.7,238.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 12:00 PM,2016,01,02,12,286,5,236.1,217.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 01:00 PM,2016,01,02,13,289,5,239.7,181.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 02:00 PM,2016,01,02,14,293,5,243.5,161.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 03:00 PM,2016,01,02,15,299,5,248.9,172.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 04:00 PM,2016,01,02,16,310,6,259.6,152.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 05:00 PM,2016,01,02,17,323,6,273.1,158.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 06:00 PM,2016,01,02,18,335,6,284.4,156.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 07:00 PM,2016,01,02,19,348,6,297.9,194.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 08:00 PM,2016,01,02,20,359,6,309.1,273.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 09:00 PM,2016,01,02,21,367,6,317.6,344.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 10:00 PM,2016,01,02,22,378,6,328.5,338.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-02 11:00 PM,2016,01,02,23,388,6,338.5,343.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 12:00 AM,2016,01,03,00,392,6,342.0,385.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 01:00 AM,2016,01,03,01,394,6,344.6,382.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 02:00 AM,2016,01,03,02,395,6,345.5,406.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 03:00 AM,2016,01,03,03,395,6,345.6,494.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 04:00 AM,2016,01,03,04,396,6,346.1,536.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 05:00 AM,2016,01,03,05,396,6,346.0,472.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 06:00 AM,2016,01,03,06,396,6,346.0,536.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 07:00 AM,2016,01,03,07,396,6,346.0,484.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 08:00 AM,2016,01,03,08,395,6,345.0,442.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 09:00 AM,2016,01,03,09,396,6,346.0,513.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 10:00 AM,2016,01,03,10,393,6,343.7,549.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 11:00 AM,2016,01,03,11,393,6,343.2,322.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 12:00 PM,2016,01,03,12,393,6,343.3,279.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 01:00 PM,2016,01,03,13,392,6,342.8,202.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 02:00 PM,2016,01,03,14,393,6,342.9,163.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 03:00 PM,2016,01,03,15,392,6,342.1,184.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 04:00 PM,2016,01,03,16,388,6,338.4,151.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 05:00 PM,2016,01,03,17,382,6,332.3,156.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 06:00 PM,2016,01,03,18,377,6,327.2,157.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 07:00 PM,2016,01,03,19,370,6,320.0,171.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 08:00 PM,2016,01,03,20,365,6,314.9,297.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 09:00 PM,2016,01,03,21,362,6,312.2,288.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 10:00 PM,2016,01,03,22,359,6,309.1,327.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-03 11:00 PM,2016,01,03,23,359,6,308.8,344.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-04 12:00 AM,2016,01,04,00,365,6,314.7,374.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2016-01-04 01:00 AM,2016,01,04,01,368,6,317.7,384.0,UG/M3,1 Hr,Valid
